row_id,file,line_number,entry_type,original_jp,vietnamese,notes
87,EV_OP.ks,161,glink_choice,はい,Đồng ý,Lựa chọn / Giao diện hệ thống
88,EV_OP.ks,162,glink_choice,いいえ,Không,Lựa chọn / Giao diện hệ thống
257,name.ks,37,glink_choice,はい,Đồng ý,Lựa chọn / Giao diện hệ thống
258,name.ks,38,glink_choice,いいえ,Không,Lựa chọn / Giao diện hệ thống
260,name.ks,81,glink_choice,オープニングを見る,Xem đoạn mở đầu,Lựa chọn / Giao diện hệ thống
261,name.ks,82,glink_choice,スキップする,Bỏ qua mở đầu,Lựa chọn / Giao diện hệ thống
267,EV_honmei.ks,21,glink_choice,本命にする,Chọn làm người yêu,Lựa chọn / Giao diện hệ thống
268,EV_honmei.ks,22,glink_choice,しない,Không,Lựa chọn / Giao diện hệ thống
271,EV_honmei.ks,51,glink_choice,本命にする,Chọn làm người yêu,Lựa chọn / Giao diện hệ thống
272,EV_honmei.ks,52,glink_choice,しない,Không,Lựa chọn / Giao diện hệ thống
275,EV_honmei.ks,81,glink_choice,本命にする,Chọn làm người yêu,Lựa chọn / Giao diện hệ thống
276,EV_honmei.ks,82,glink_choice,しない,Không,Lựa chọn / Giao diện hệ thống
1217,room_Sunday.ks,40,glink_choice,買い物に行く,Đi mua sắm,Lựa chọn / Giao diện hệ thống
1218,room_Sunday.ks,41,glink_choice,寝て過ごす,Nghỉ ngơi,Lựa chọn / Giao diện hệ thống
1243,komyu_H.ks,26,glink_choice,凪の部屋でしたい,Làm ở phòng Nagi,Lựa chọn / Giao diện hệ thống
1244,komyu_H.ks,27,glink_choice,戻る,Quay lại,Lựa chọn / Giao diện hệ thống
1245,komyu_H.ks,44,glink_choice,病院でしたい,Làm ở bệnh viện,Lựa chọn / Giao diện hệ thống
1246,komyu_H.ks,48,glink_choice,ローションで遊びたい,Dùng gel bôi trơn,Lựa chọn / Giao diện hệ thống
1258,komyu_H.ks,84,glink_choice,凪の部屋でしたい,Làm ở phòng Nagi,Lựa chọn / Giao diện hệ thống
1259,komyu_H.ks,85,glink_choice,戻る,Quay lại,Lựa chọn / Giao diện hệ thống
1260,komyu_H.ks,104,glink_choice,ベランダでしたい,Làm ở ngoài ban công,Lựa chọn / Giao diện hệ thống
1261,komyu_H.ks,108,glink_choice,俺の部屋でしたい,Làm ở phòng riêng,Lựa chọn / Giao diện hệ thống
1272,komyu_H.ks,155,glink_choice,マッサージ店でしたい,Làm ở tiệm massage,Lựa chọn / Giao diện hệ thống
1273,komyu_H.ks,156,glink_choice,戻る,Quay lại,Lựa chọn / Giao diện hệ thống
1274,komyu_H.ks,168,glink_choice,シャワールームでしたい,Làm ở phòng tắm,Lựa chọn / Giao diện hệ thống
1279,komyu_H.ks,190,glink_choice,マッサージ店でしたい,Làm ở tiệm massage,Lựa chọn / Giao diện hệ thống
1280,komyu_H.ks,191,glink_choice,戻る,Quay lại,Lựa chọn / Giao diện hệ thống
1281,komyu_H.ks,208,glink_choice,ローションで遊びたい,Dùng gel bôi trơn,Lựa chọn / Giao diện hệ thống
1282,komyu_H.ks,212,glink_choice,3人でしたい,Làm 3P cùng cả hai,Lựa chọn / Giao diện hệ thống
1291,komyu_H.ks,256,glink_choice,リフレでしたい,Muốn làm ở tiệm Maid Reflex,Lựa chọn / Giao diện hệ thống
1292,komyu_H.ks,257,glink_choice,戻る,Quay lại,Lựa chọn / Giao diện hệ thống
1293,komyu_H.ks,269,glink_choice,ローションで遊びたい,Dùng gel bôi trơn,Lựa chọn / Giao diện hệ thống
1299,komyu_H.ks,292,glink_choice,リフレでしたい,Muốn làm ở tiệm Maid Reflex,Lựa chọn / Giao diện hệ thống
1300,komyu_H.ks,293,glink_choice,戻る,Quay lại,Lựa chọn / Giao diện hệ thống
1301,komyu_H.ks,311,glink_choice,自分の部屋でしたい,Làm ở phòng riêng,Lựa chọn / Giao diện hệ thống
1302,komyu_H.ks,315,glink_choice,3人でしたい,Làm 3P cùng cả hai,Lựa chọn / Giao diện hệ thống
1310,komyu_hayato.ks,29,glink_choice,雑談,Trò chuyện phiếm,Lựa chọn / Giao diện hệ thống
